KEY,IR,GDP,UR,CPI,NFP,NHS,CU,CCI,NAPM,UNL,RS
198709,5.95,4981.9496666667,5.9,114.7,102646,666,81.7,100.4088,60,70.9606666667,15
198710,6,5022.67,6,115,103138,650,82.8,100.3693,60.7,71.068,15
198711,6,5045.3183333333,5.8,115.4,103370,625,83.1,100.2573,58.8,71.4116666667,13
198712,6,5067.9666666667,5.7,115.6,103664,595,83.4,100.1647,61,71.7553333333,11
198801,6,5090.615,5.7,116,103758,585,83.4,100.0737,57.5,72.099,14
198802,6,5129.6456666667,5.7,116.2,104211,663,83.7,100.0876,56.2,72.3606666667,11
198803,6,5168.6763333333,5.7,116.5,104487,669,83.8,100.2013,54.6,72.6223333333,11
198804,6,5207.707,5.4,117.2,104732,699,84.3,100.4249,55.8,72.884,13
198805,6,5238.3,5.6,117.5,104961,684,84.1,100.5509,55.5,73.125,12
198806,6,5268.893,5.4,118,105324,717,84.3,100.5975,59.3,73.366,15
198807,6,5299.486,5.4,118.5,105546,679,84.3,100.6279,58.2,73.607,14
198808,6.37,5337.2283333333,5.6,119,105670,688,84.7,100.667,56,73.7086666667,11
198809,6.5,5374.9706666667,5.4,119.5,106009,703,84.4,100.7077,54.5,73.8103333333,15
198810,6.5,5412.713,5.4,119.9,106277,718,84.7,100.8271,55.4,73.912,14
198811,6.5,5450.926,5.3,120.3,106616,628,84.8,100.954,55.6,73.964,15
198812,6.5,5489.139,5.3,120.7,106906,658,85.1,101.014,56,74.016,13
198901,6.5,5527.352,5.4,121.2,107168,719,85.2,101.0497,54.7,74.068,13
198902,6.59,5561.0443333333,5.2,121.6,107426,622,84.7,101.0693,54.1,74.072,14
198903,7,5594.7366666667,5,122.2,107619,567,84.8,101.102,51.5,74.076,14
198904,7,5628.429,5.2,123.1,107792,608,84.7,101.1146,52.2,74.08,13
198905,7,5656.138,5.2,123.7,107910,656,84,101.1067,49.3,74.1793333333,11
198906,7,5683.847,5.3,124.1,108026,642,83.8,101.2075,47.3,74.2786666667,13
198907,7,5711.556,5.2,124.5,108066,731,82.9,101.3553,45.9,74.378,14
198908,7,5728.852,5.2,124.5,108115,697,83.5,101.4521,45.1,74.6966666667,11
198909,7,5746.148,5.3,124.8,108365,639,83,101.5083,46,75.0153333333,14
198910,7,5763.444,5.3,125.4,108476,645,82.7,101.5552,46.8,75.334,13
198911,7,5805.9076666667,5.4,125.9,108753,684,82.8,101.6064,46.8,75.63,14
198912,7,5848.3713333333,5.4,126.3,108849,630,83.1,101.6024,47.4,75.926,13
199001,7,5890.835,5.4,127.5,109184,620,82.4,101.4782,47.2,76.222,12
199002,7,5918.7783333333,5.3,128,109432,591,83,101.3035,49.1,76.53,13
199003,7,5946.7216666667,5.2,128.6,109647,574,83.2,101.1887,49.9,76.838,13
199004,7,5974.665,5.4,128.9,109687,542,83,101.1209,50,77.146,12
199005,7,5992.9446666667,5.4,129.1,109840,534,82.9,101.0516,49.5,77.3616666667,11
199006,7,6011.2243333333,5.2,129.9,109865,545,83,100.9827,49.2,77.5773333333,13
199007,7,6029.504,5.5,130.5,109829,542,82.8,100.8622,46.6,77.793,13
199008,7,6027.4466666667,5.7,131.6,109619,528,82.9,100.6808,46.1,78.2143333333,14
199009,7,6025.3893333333,5.9,132.5,109517,496,82.9,100.3727,44.5,78.6356666667,14
199010,7,6023.332,5.9,133.4,109370,465,82.1,100.0521,43.2,79.057,12
199011,7,6033.8436666667,6.2,133.7,109220,493,81.1,99.75493,41.3,79.1786666667,14
199012,6.79,6044.3553333333,6.3,134.2,109163,464,80.4,99.5768,40.8,79.3003333333,13
199101,6.5,6054.867,6.4,134.7,109042,401,80,99.51335,39.2,79.422,15
199102,6,6084.4486666667,6.6,134.8,108735,482,79.3,99.57451,39.4,79.4763333333,13
199103,6,6114.0303333333,6.8,134.8,108577,507,78.8,99.82052,40.7,79.5306666667,13
199104,5.98,6143.612,6.7,135.1,108365,508,78.9,99.92625,42.8,79.585,11
199105,5.5,6168.5496666667,6.9,135.6,108249,517,79.6,99.9948,44.5,79.71,14
199106,5.5,6193.4873333333,6.9,136,108337,516,80.2,99.98592,50.3,79.835,13
199107,5.5,6218.425,6.8,136.2,108297,511,80.2,99.87582,50.6,79.96,12
199108,5.5,6238.7153333333,6.9,136.6,108314,526,80.2,99.75738,52.9,80.129,13
199109,5.2,6259.0056666667,6.9,137,108334,487,80.8,99.59397,54.9,80.298,13
199110,5,6279.296,7,137.2,108359,524,80.5,99.40193,53.1,80.467,11
199111,4.58,6313.13,7,137.8,108303,575,80.3,99.39562,49.5,80.5936666667,14
199112,4.11,6346.964,7.3,138.2,108325,558,79.8,99.47615,46.8,80.7203333333,12
199201,3.5,6380.798,7.3,138.3,108374,676,79.2,99.54824,47.3,80.847,14
199202,3.5,6417.965,7.4,138.6,108317,639,79.6,99.595,52.7,80.844,13
199203,3.5,6455.132,7.4,139.1,108369,553,80.2,99.6241,54.6,80.841,12
199204,3.5,6492.299,7.4,139.4,108526,546,80.6,99.70319,52.6,80.838,14
199205,3.5,6523.7153333333,7.6,139.7,108653,554,80.7,99.85779,55.7,80.912,13
199206,3.5,6555.1316666667,7.8,140.1,108718,596,80.5,100.0104,53.6,80.986,11
